SkillSpector Linear Data.

Create Date 10/17/2021
Time 17:47:9

Bola - X pos	Bola - Y pos	
1.618	0.296	
1.621	0.296	
1.618	0.292	
1.614	0.296	
1.614	0.296	
1.618	0.296	
1.614	0.296	
1.610	0.292	
1.610	0.296	
1.610	0.296	
1.603	0.289	
1.606	0.295	
1.614	0.292	
1.614	0.296	
1.614	0.296	
1.614	0.292	
1.614	0.296	
1.614	0.296	
1.614	0.296	
1.614	0.296	
1.614	0.296	
1.614	0.296	
1.614	0.296	
1.614	0.296	
1.614	0.296	
1.614	0.296	
1.614	0.296	
1.614	0.296	
1.614	0.292	
1.614	0.292	
1.606	0.292	
1.599	0.292	
1.584	0.289	
1.569	0.288	
1.543	0.288	
1.505	0.285	
1.475	0.285	
1.426	0.284	
1.366	0.281	
1.295	0.277	
1.217	0.277	
1.131	0.273	
1.038	0.276	
0.971	0.276	
0.863	0.272	
0.744	0.271	
0.662	0.271	
0.580	0.271	
0.399	0.273	
0.259	0.273	
0.159	0.273	
0.060	0.272	
0.067	0.269	
0.185	0.259	
0.296	0.249	
0.362	0.243	
0.455	0.233	
0.507	0.226	
0.618	0.217	
0.685	0.207	
0.729	0.203	
0.785	0.193	
0.826	0.183	
0.860	0.176	
0.882	0.173	
0.901	0.163	
0.916	0.156	
0.919	0.153	
0.919	0.142	
0.908	0.132	
0.897	0.129	
0.875	0.118	
0.841	0.111	
0.812	0.105	
0.789	0.098	
0.741	0.091	
0.696	0.091	
0.615	0.077	
0.537	0.070	
0.455	0.059	
0.388	0.056	
0.296	0.048	
0.196	0.045	
0.122	0.041	
0.044	0.038	
0.055	0.031	
0.144	0.024	
0.225	0.014	
0.299	0.007	
0.348	0.008	
0.381	0.001	
0.440	-0.006	
0.496	-0.016	
0.526	-0.019	
0.552	-0.026	
0.563	-0.030	
0.578	-0.036	
0.574	-0.043	
0.559	-0.050	
0.544	-0.054	
0.518	-0.061	
0.496	-0.064	
0.452	-0.071	
0.400	-0.074	
0.348	-0.081	
0.281	-0.081	
0.203	-0.085	
0.125	-0.089	
0.062	-0.092	
-0.000	-0.096	
0.051	-0.102	
0.096	-0.109	
0.159	-0.123	
0.207	-0.133	
